CCID,clickPrompts
Family_01,138
Family_02,5
Family_03,46
Family_04,84
Family_05,2
Family_06,75
Family_07,72
Family_08,242
Family_09,75
Family_10,94
Family_11,106
Family_12,214
Family_13,229
Family_14,217
Family_15,143
Family_17,29
Family_18,109
Family_19,101
Family_20,80
Family_21,91
Family_22,37
Family_23,241
Family_24,316
Family_25,102
Family_26,79
Family_27,224
Family_28,175
Family_29,266
Family_31,207
Family_32,96
Family_33,47
Family_34,5
Family_35,22
Family_36,49
Family_38,36
Family_40,91
Family_41,60
Family_42,91
Family_44,209
Family_45,82
