CCID,duration,chapter_openings
Family_34,373.512,3
Family_33,2067.576,17
Family_05,8857.944000000001,102
Family_02,2590.343999999999,30
Family_03,5014.464000000002,41
Family_04,10860.984000000006,137
Family_32,4705.992,26
Family_35,1039.0800000000002,26
Family_44,7555.368000000002,57
Family_28,4618.320000000001,56
Family_17,7332.864,26
Family_10,8514.336,100
Family_19,6379.439999999996,78
Family_26,7033.151999999999,52
Family_21,3279.1439999999993,27
Family_42,6746.615999999999,69
Family_45,3596.04,20
Family_20,553.296,10
Family_18,7636.848,104
Family_27,8457.816,44
Family_11,4375.248000000001,30
Family_29,10107.168000000001,73
Family_16,2.64,1
Family_08,7808.232000000002,95
Family_01,5883.4320000000025,104
Family_06,2356.032,30
Family_07,11021.472,137
Family_38,6036.959999999997,72
Family_36,5239.295999999999,53
Family_09,7168.224000000001,86
Family_31,6279.672000000001,44
Family_13,18109.608000000004,241
Family_14,8662.656,59
Family_22,2274.192,13
Family_25,7343.136,140
Family_40,2194.392,57
Family_24,7583.616000000001,59
Family_23,10680.887999999994,109
Family_15,6624.959999999998,64
Family_12,14804.448000000008,146
Family_41,2531.1119999999996,25
